gene,metabolite,cell_type,mean,std,n
ATP1A1,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid|1b,3a,12a-Trihydroxy-5b-cholanoic acid|3-Sulfodeoxycholic acid|3alpha,7alpha-Dihydroxycoprostanic acid|3b-Hydroxy-5-cholenoic acid|Chenodeoxycholic acid|Chenodeoxycholic acid 3-sulfate|Coprocholic acid|Deoxycholic acid|Folinic acid|Glutathione|Glycochenodeoxycholate-3-sulfate|Hyodeoxycholic acid|Isoursodeoxycholic acid|Lithocholic acid|Sulfolithocholic acid|Trihydroxycoprostanoic acid|Ursocholic acid|Ursodeoxycholic acid|Ursodeoxycholic acid 3-sulfate|Varanic acid",B,0.0,0.0,20
ATP1A1,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4'-Hydroxydiclofenac|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan",B,0.0,0.0,20
ATP1A1,2-Hydroxychlorpropamide,B,0.0,0.0,20
ATP1A1,25-Hydroxycholesterol,B,0.0,0.0,20
ATP1A1,4-ene-Valproic acid,B,0.0,0.0,20
ATP1A1,5-Hydroxyomeprazole,B,0.0,0.0,20
ATP1A1,Acetate,B,0.0,0.0,20
ATP1A1,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,B,0.0,0.0,20
ATP1A1,Adenosine triphosphate,B,0.0,0.0,20
ATP1A1,Amiloride-sensitive sodium transport,B,0.0,0.0,20
ATP1A1,Anion exchange,B,0.0,0.0,20
ATP1A1,Butyrate|D-Lactate|Ketone bodies|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,B,0.0,0.0,20
ATP1A1,Cadmium|Manganese|Zinc,B,0.0,0.0,20
ATP1A1,Chloride,B,0.0,0.0,20
ATP1A1,Chloride ion,B,0.0,0.0,20
ATP1A1,Cholesterol,B,0.0,0.0,20
ATP1A1,Cholic acid,B,0.0,0.0,20
ATP1A1,Citric acid|Oxalic acid,B,0.0,0.0,20
ATP1A1,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen,B,0.0,0.0,20
ATP1A1,Estradiol,B,0.0,0.0,20
ATP1A1,Fatty acid,B,0.0,0.0,20
ATP1A1,Folic acid,B,0.0,0.0,20
ATP1A1,Glycyl-glycine|L-Dopa,B,0.0,0.0,20
ATP1A1,Iron,B,0.0,0.0,20
ATP1A1,L-Arginine|L-Cystine|L-Lysine|L-Ornithine,B,0.0,0.0,20
ATP1A1,L-Carnitine,B,0.0,0.0,20
ATP1A1,L-Glutamate,B,0.0,0.0,20
ATP1A1,N-desmethylimatinib,B,0.0,0.0,20
ATP1A1,Neurotransmitter,B,0.0,0.0,20
ATP1A1,Nicotinate,B,0.0,0.0,20
ATP1A1,O-Desmethylverapamil (D-702),B,0.0,0.0,20
ATP1A1,Phosphate,B,0.0,0.0,20
ATP1A1,Progesterone,B,0.0,0.0,20
ATP1A1,Sodium,B,0.0,0.0,20
ATP1A1,Sodium_hydrogen exchange,B,0.0,0.0,20
ATP1A1,Taurocholic acid,B,0.0,0.0,20
ATP1A1,Testosterone,B,0.0,0.0,20
ATP1A1,Urea,B,0.0,0.0,20
ATP1A1,Vitamin D3,B,0.0,0.0,20
ATP1A1,Water,B,0.0,0.0,20
ATP1A1,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid|1b,3a,12a-Trihydroxy-5b-cholanoic acid|3-Sulfodeoxycholic acid|3alpha,7alpha-Dihydroxycoprostanic acid|3b-Hydroxy-5-cholenoic acid|Chenodeoxycholic acid|Chenodeoxycholic acid 3-sulfate|Coprocholic acid|Deoxycholic acid|Folinic acid|Glutathione|Glycochenodeoxycholate-3-sulfate|Hyodeoxycholic acid|Isoursodeoxycholic acid|Lithocholic acid|Sulfolithocholic acid|Trihydroxycoprostanoic acid|Ursocholic acid|Ursodeoxycholic acid|Ursodeoxycholic acid 3-sulfate|Varanic acid",Endothelial,0.0,0.0,391
ATP1A1,"17a-Ethynylestradiol|3',4'-Dihydrodiol|4'-Hydroxydiclofenac|4-Hydroxycyclophosphamide|8-Hydroxycarvedilol|E-3179|Estriol|Glycerol|N-Desmethylcitalopram|N-Desmethyleletriptan|O-Deethylated candesartan",Endothelial,0.0,0.0,391
ATP1A1,2-Hydroxychlorpropamide,Endothelial,0.0,0.0,391
ATP1A1,25-Hydroxycholesterol,Endothelial,0.0,0.0,391
ATP1A1,4-ene-Valproic acid,Endothelial,0.0,0.0,391
ATP1A1,5-Hydroxyomeprazole,Endothelial,0.0,0.0,391
ATP1A1,Acetate,Endothelial,0.0,0.0,391
ATP1A1,Acetyl-L-Carnitine|Choline|Creatine|Dopamine|Histamine|Norepinephrine,Endothelial,0.0,0.0,391
ATP1A1,Adenosine triphosphate,Endothelial,0.0,0.0,391
ATP1A1,Amiloride-sensitive sodium transport,Endothelial,0.0,0.0,391
ATP1A1,Anion exchange,Endothelial,0.0,0.0,391
ATP1A1,Butyrate|D-Lactate|Ketone bodies|L-Lactate|Pyruvate|alpha-Ketoisovaleric acid,Endothelial,0.0,0.0,391
ATP1A1,Cadmium|Manganese|Zinc,Endothelial,0.0,0.0,391
ATP1A1,Chloride,Endothelial,0.0,0.0,391
ATP1A1,Chloride ion,Endothelial,0.0,0.0,391
ATP1A1,Cholesterol,Endothelial,0.0,0.0,391
ATP1A1,Cholic acid,Endothelial,0.0,0.0,391
ATP1A1,Citric acid|Oxalic acid,Endothelial,0.0,0.0,391
ATP1A1,Cortisol|Hydroxylansoprazole|N-Desmethyltamoxifen,Endothelial,0.0,0.0,391
ATP1A1,Estradiol,Endothelial,0.0,0.0,391
ATP1A1,Fatty acid,Endothelial,0.0,0.0,391
ATP1A1,Folic acid,Endothelial,0.0,0.0,391
ATP1A1,Glycyl-glycine|L-Dopa,Endothelial,0.0,0.0,391
ATP1A1,Iron,Endothelial,0.0,0.0,391
ATP1A1,L-Arginine|L-Cystine|L-Lysine|L-Ornithine,Endothelial,0.0,0.0,391
ATP1A1,L-Carnitine,Endothelial,0.0,0.0,391
ATP1A1,L-Glutamate,Endothelial,0.0,0.0,391
ATP1A1,N-desmethylimatinib,Endothelial,0.0,0.0,391
ATP1A1,Neurotransmitter,Endothelial,0.0,0.0,391
ATP1A1,Nicotinate,Endothelial,0.0,0.0,391
ATP1A1,O-Desmethylverapamil (D-702),Endothelial,0.0,0.0,391
ATP1A1,Phosphate,Endothelial,0.0,0.0,391
ATP1A1,Progesterone,Endothelial,0.0,0.0,391
ATP1A1,Sodium,Endothelial,0.0,0.0,391
ATP1A1,Sodium_hydrogen exchange,Endothelial,0.0,0.0,391
ATP1A1,Taurocholic acid,Endothelial,0.0,0.0,391
ATP1A1,Testosterone,Endothelial,0.0,0.0,391
ATP1A1,Urea,Endothelial,0.0,0.0,391
ATP1A1,Vitamin D3,Endothelial,0.0,0.0,391
ATP1A1,Water,Endothelial,0.0,0.0,391
