gene,ligand,tf,pair,cell_type,mean,std,n
HIF1A,VEGFA,EGR3,VEGFA#EGR3,other,-5.962313e-07,3.371719e-06,103187
HIF1A,IL18,EMX2,IL18#EMX2,other,-1.16648025e-08,5.0268937e-08,103187
HIF1A,VEGFA,ETS1,VEGFA#ETS1,other,9.757154e-09,5.7558783e-08,103187
HIF1A,CXCL12,FOXJ2,CXCL12#FOXJ2,other,-4.602294e-09,2.335183e-08,103187
HIF1A,TGFA,FOXN1,TGFA#FOXN1,other,-2.3380352e-08,1.3236263e-07,103187
HIF1A,VEGFA,FOXO4,VEGFA#FOXO4,other,-9.684517e-07,5.4731945e-06,103187
HIF1A,BMP4,GATA3,BMP4#GATA3,other,-1.3502766e-07,7.632432e-07,103187
HIF1A,BMP4,HES1,BMP4#HES1,other,-2.2490308e-07,1.271195e-06,103187
HIF1A,VEGFA,HLX,VEGFA#HLX,other,-4.1617274e-10,1.960516e-09,103187
HIF1A,VEGFA,KLF4,VEGFA#KLF4,other,-7.1087466e-06,4.019742e-05,103187
HIF1A,TNFSF10,KLF4,TNFSF10#KLF4,other,-1.5234316e-06,8.604867e-06,103187
HIF1A,WNT3A,KLF5,WNT3A#KLF5,other,-2.7309469e-10,1.5868609e-09,103187
HIF1A,PDGFC,KLF5,PDGFC#KLF5,other,-1.0182565e-08,5.7599333e-08,103187
HIF1A,TGFB3,MYC,TGFB3#MYC,other,-7.49673e-09,4.2369336e-08,103187
HIF1A,ADM,PAX1,ADM#PAX1,other,-2.1153038e-08,1.0016997e-07,103187
HIF1A,WNT5A,PAX8,WNT5A#PAX8,other,-3.690464e-09,2.0880622e-08,103187
HIF1A,IL18,POLR2A,IL18#POLR2A,other,-9.760212e-07,5.4981106e-06,103187
HIF1A,TGFA,POLR2A,TGFA#POLR2A,other,-3.6083577e-07,2.0395603e-06,103187
HIF1A,IL6,POU5F1,IL6#POU5F1,other,8.798728e-09,4.1386006e-08,103187
HIF1A,IL36G,PPARD,IL36G#PPARD,other,-3.618479e-07,2.0509488e-06,103187
HIF1A,INHBA,PRDM1,INHBA#PRDM1,other,-3.409201e-08,1.6069251e-07,103187
HIF1A,VEGFA,PRDM1,VEGFA#PRDM1,other,3.5262678e-07,1.9890417e-06,103187
HIF1A,WNT3A,PRDM1,WNT3A#PRDM1,other,-3.1714755e-09,1.491306e-08,103187
HIF1A,IL36G,PRDM1,IL36G#PRDM1,other,1.3077397e-07,7.3991924e-07,103187
HIF1A,IL18,RREB1,IL18#RREB1,other,-1.0383252e-06,5.809394e-06,103187
HIF1A,ANGPTL4,RREB1,ANGPTL4#RREB1,other,-5.072572e-07,2.6614273e-06,103187
HIF1A,ADM,RREB1,ADM#RREB1,other,-2.0028484e-07,1.2915518e-06,103187
HIF1A,BMP2,RXRA,BMP2#RXRA,other,8.715432e-11,4.928036e-10,103187
HIF1A,CXCL12,RXRA,CXCL12#RXRA,other,-2.959792e-09,1.813622e-07,103187
HIF1A,IL18,SIN3A,IL18#SIN3A,other,-4.2029546e-07,2.2757972e-06,103187
HIF1A,CXCL12,SIN3A,CXCL12#SIN3A,other,-1.8802448e-08,7.310066e-08,103187
HIF1A,IL6,SMAD1,IL6#SMAD1,other,-6.020117e-09,3.075037e-08,103187
HIF1A,IL18,SMAD1,IL18#SMAD1,other,5.611748e-09,3.4413528e-08,103187
HIF1A,PDGFA,SP1,PDGFA#SP1,other,-4.204446e-08,2.1132387e-07,103187
HIF1A,IL6,STAT3,IL6#STAT3,other,5.211378e-07,2.4756673e-06,103187
HIF1A,PDGFA,TAF1,PDGFA#TAF1,other,-3.4878682e-09,1.5445332e-08,103187
