cell_type,gene_pair,n_cells,frac_sig,mean_cs,mean_cs_sig,mean_neg_log10_pval,log2_enrichment
B,SLC16A1_SLC16A1,20,0.0,0.0,,2.098804,-inf
B,SLCO2B1_SLCO2B1,20,0.0,0.0,,1.709932,-inf
B,SLC16A1_SLC22A5,20,0.0,0.0,,2.9203315,-inf
B,SLC22A5_SLC22A5,20,0.0,0.0,,1.6020987,-inf
B,SLC3A1_SLC3A1,20,0.0,0.0,,2.5756202,-inf
B,SLC39A8_SLC39A8,20,0.0,0.0,,1.899498,-inf
B,SLC3A2_SLC40A1,20,0.0,0.0,,1.9763048,-inf
B,SLC40A1_SLC40A1,20,0.0,0.0,,1.4163727,-inf
B,SLC22A4_SLC22A5,20,0.0,0.0,,2.95528,-inf
B,SLC16A9_SLC22A5,20,0.0,0.0,,2.8148656,-inf
B,SLC16A9_SLC16A9,20,0.0,0.0,,2.6417315,-inf
B,SLC12A2_SLC12A2,20,0.0,0.0,,0.8625704,-inf
B,SLC12A2_SLC5A3,20,0.0,0.0,,2.4232738,-inf
B,SLC12A2_SLC1A5,20,0.0,0.0,,2.0782666,-inf
B,SLC12A2_SLC5A1,20,0.0,0.0,,2.7691596,-inf
B,SLC1A5_SLC5A3,20,0.0,0.0,,2.4031982,-inf
B,SLC5A1_SLC5A1,20,0.0,0.0,,2.1159496,-inf
B,CPT1A_CPT1A,20,0.0,0.0,,0.6459797,-inf
B,FABP5_FABP5,20,0.0,0.0,,1.2129986,-inf
B,CD36_MSR1,20,0.0,0.0,,2.9581797,-inf
B,CD36_CD36,20,0.0,0.0,,2.8385575,-inf
B,MSR1_MSR1,20,0.0,0.0,,2.7757936,-inf
B,ABCA1_ABCA1,20,0.05,1.0290826813854097,20.581653627708192,2.0591857,2.2123673614259416
B,ABCG2_ABCG2,20,0.0,0.0,,2.4852142,-inf
B,ABCB1_ABCB1,20,0.0,0.0,,2.1590161,-inf
B,ABCB1_ABCG2,20,0.0,0.0,,3.0004346,-inf
B,SLC20A2_SLC20A2,20,0.0,0.0,,2.5573945,-inf
B,ABCC3_ABCG2,20,0.0,0.0,,3.0004346,-inf
B,ABCC3_ABCC3,20,0.0,0.0,,1.8689795,-inf
B,SLC15A1_SLC15A1,20,0.0,0.0,,2.9402285,-inf
B,CD38_CD38,20,0.0,0.0,,2.5091672,-inf
B,ABCB1_SLC22A1,20,0.0,0.0,,3.0004346,-inf
B,ABCC3_SLC16A1,20,0.0,0.0,,2.741616,-inf
B,ABCB1_ABCC3,20,0.0,0.0,,2.9226193,-inf
B,ABCG2_SLC16A1,20,0.0,0.0,,2.8067164,-inf
B,ABCB1_SLC16A1,20,0.0,0.0,,2.7760634,-inf
B,ABCB1_SLC22A4,20,0.0,0.0,,3.0004346,-inf
B,ABCG2_SLC22A4,20,0.0,0.0,,3.0004346,-inf
B,TAP1_TAP1,20,0.0,0.0,,1.4254006,-inf
B,AQP8_AQP8,20,0.0,0.0,,1.6081444,-inf
B,AQP5_AQP9,20,0.0,0.0,,3.0004346,-inf
B,AQP7_AQP8,20,0.0,0.0,,2.8715599,-inf
B,AQP7_AQP7,20,0.0,0.0,,2.4134681,-inf
B,ABCB1_SLC22A5,20,0.0,0.0,,2.9203315,-inf
B,ABCC3_SLC22A4,20,0.0,0.0,,3.0004346,-inf
B,ABCG2_SLC22A5,20,0.0,0.0,,2.929686,-inf
B,ABCC3_SLC22A5,20,0.0,0.0,,2.9163728,-inf
B,ABCB1_SLC15A1,20,0.0,0.0,,2.9226193,-inf
B,CLCN3_CLCN3,20,0.05,0.4645891972422618,9.291783944845236,1.5498035,0.45137449661328594
B,SLC9A3_SLC9A3,20,0.0,0.0,,1.34637,-inf
B,SLC9A1_SLC9A3,20,0.0,0.0,,2.9094574,-inf
B,SLC9A1_SLC9A1,20,0.0,0.0,,1.7954226,-inf
B,SLC6A9_SLC6A9,20,0.0,0.0,,2.6352143,-inf
B,SLC26A2_SLC26A3,20,0.0,0.916473785601329,,2.8684602,-inf
B,SLC26A2_SLC26A2,20,0.0,0.0,,0.9572371,-inf
B,SLC26A3_SLC26A3,20,0.0,0.0,,1.3071073,-inf
B,SCNN1A_SCNN1A,20,0.0,0.0,,1.4371153,-inf
Endothelial_arterial,SLC16A1_SLC16A1,178,0.0056179775280898875,0.08972273085011918,15.970646091321214,2.0820603,-1.4315769291726568
Endothelial_arterial,SLCO2B1_SLCO2B1,178,0.011235955056179775,0.3971775572327693,35.34880259371647,1.7428212,-1.0978395319956609
Endothelial_arterial,SLC16A1_SLC22A5,178,0.0,0.31678669399866266,,2.7073653,-inf
Endothelial_arterial,SLC22A5_SLC22A5,178,0.0,0.0,,1.6006106,-inf
Endothelial_arterial,SLC3A1_SLC3A1,178,0.0,0.0,,2.6036587,-inf
Endothelial_arterial,SLC39A8_SLC39A8,178,0.0,0.0,,1.8930424,-inf
Endothelial_arterial,SLC3A2_SLC40A1,178,0.0,0.9816205467384573,,2.247562,-inf
Endothelial_arterial,SLC40A1_SLC40A1,178,0.028089887640449437,0.8785619894407731,31.276806824091523,1.4553367,-0.7560118796705936
Endothelial_arterial,SLC22A4_SLC22A5,178,0.0,0.0,,2.8107536,-inf
Endothelial_arterial,SLC16A9_SLC22A5,178,0.0,0.0,,2.782786,-inf
Endothelial_arterial,SLC16A9_SLC16A9,178,0.0,0.0,,2.6151006,-inf
Endothelial_arterial,SLC12A2_SLC12A2,178,0.0,0.058840110893708004,,0.8700978,-inf
Endothelial_arterial,SLC12A2_SLC5A3,178,0.0,0.173275144810795,,2.252347,-inf
